These are patches originally created for the DX-21 by Bobby Clark.  I have converted them for use on the FB-01 using Martin Tarenskeen's FB_CNVRT program for the AtariST.  So a big thanks to him for that very useful program!  The files were originally dated April 22, 1987 (uh.... and it looks like I needed to set the date & time on the AtariST emulator, as they're now dated with the year 2032).

The original patch list is as follows


 DX   DX
A 5    5 - PowerPLAY!
A 6    6 - Axel F.   
A 7    7 - Kashmir   
A 8    8 - LoveVICTIM
A 9    9 - 2nd VICTIM
A10   10 - Harpsi 100
A11   11 - Shadows   
A12   12 - Vibraphone
A13   13 - Omni      
A14   14 - Omnistra  
A15   15 - Orchy     
A16   16 - SpaceScene
B 1   17 - Harpsi 101
B 2   18 - Shada     
B 3   19 - SnareSynth
B 4   20 - Shamagan 3
B 5   21 - Tomsynth  
B 6   22 - Bass Drum 
B 7   23 - Shakuhachi
B 8   24 - JazzGuit 2

File: W.syx


A 1    1 - Hi-hat 1  
A 2    2 - Synth Drum
A 3    3 - Ventures  
A 4    4 - Timelord 2
A 5    5 - Delta     
A 6    6 - Impulse   
A 7    7 - Frontios  
A 8    8 - Handclap  
A 9    9 - Djinni    
A10   10 - Romana    
A11   11 - PureEnergy
A12   12 - from      
A13   13 - Odyssey   
A14   14 - Vista     
A15   15 - Ace      2
A16   16 - Southpaw  
B 1   17 - 2001      
B 2   18 - Nebula    
B 3   19 - Tomsynth 2
B 4   20 - TTT II    
B 5   21 - PercSYNTH 
B 6   22 - Boullabass
B 7   23 - SpaceBRASS
B 8   24 - PianoPiano

File: X.syx


A 1    1 - ElphantGun
A 2    2 - LORP      
A 3    3 - BACKWARDS 
A 4    4 - SteelBasss
A 5    5 - BINARY    
A 6    6 - Tron Bugs 
A 7    7 - CRUNGE    
A 8    8 - ElecHarpsi
A 9    9 - WaitingRm.
A10   10 - Affaglosia
A11   11 - Groucho   
A12   12 - WARP HORN 
A13   13 - PARRALAX  
A14   14 - PARRALAXIS
A15   15 - PARRALAXOO
A16   16 - GENESIS   
B 1   17 - GESTALT   
B 2   18 - FLOOJ     
B 3   19 - ELF BELLS 
B 4   20 - Tranquo   
B 5   21 - Elegia II 
B 6   22 - Xenophobia
B 7   23 - FlapBassII
B 8   24 - Cowbelle 4

File: Y.syx


A 1    1 - EsperPIANO
A 2    2 - Rg        
A 3    3 - GlassTears
A 4    4 - Digibell  
A 5    5 - ALBEDO    
A 6    6 - Narcissus 
A 7    7 - Frills    
A 8    8 - Perc.Bass 
A 9    9 - TWILIGHTA 
A10   10 - Majestical
A11   11 - PharoPIANO
